锂电池型号,电芯品牌,电压(V),容量(Ah),尺寸(mm),总重量(kg),模组串并联方式,适用叉车型号,单体电芯容量(Ah),模组配置(串S并P联）,对应铅酸电池电压(V),含配重(kg),电池详情,长(mm),宽(mm),高(mm),锂电池型号编码,电芯品牌编码
F48690CM,EVE,51.2,690.0,1150x1143x571.5,1860.0,N/A,Yale ERC100VH,230,16S3P,48,1381,"型号：F48690CM叉车项目； 电芯：亿纬230Ah ，组合方式：16S3P； 电压：51.2V ；容量：690Ah； 电量：35.328KWh，箱体尺寸：1150*1143*571.5mm，配重1381KG，总重1860KG，加顶盖, 配4G模块和加热功能，充电头：Anderson Euro 320A-Female A系列  (与Ecotech适配通讯,48Li-20kW-34)，放电插头：Anderson SB350 Blue ， 屏幕线3米； BMS-自研。（叉车型号：Yale ERC100VH）",1150.0,1143.0,571.5,1247,0
F80420E,EVE,80.0,420.0,1009x679x776,,N/A,N/A,105,25S4P,80,-,型号：F80420D叉车项目： 电芯：EVE105Ah ，组合方式：25S4P 电压：80V 容量：420Ah 电量：33.6KWh（箱体尺寸：1009*679*776mm）带配。,1009.0,679.0,776.0,1366,0
F36690H,EVE,38.4,690.0,980x413x780,,N/A,N/A,230,12S3P,36,-,型号：F36690H叉车项目： 电芯：EVE230Ah ，组合方式：12S3P 电压：38.4V 容量：690Ah 电量：26.496KWh（箱体尺寸：980*413*780mm）,980.0,413.0,780.0,559,0
F80840Y,瑞浦,83.2,840.0,1030x805x770,1835.0,N/A,Tiger Tractor,280,26S3P,80,1250,"型号：F80840Y叉车项目； 电芯：瑞浦280Ah ；组合方式：26S3P ；电压：83.2V； 容量：840Ah； 电量：69.888KWh（箱体最大尺寸： 1030*805*770mm）配重1250kg，总重量：1835KG，带4G.,带加热 ,加顶盖，屏幕线3米，放电插头：REMA 320 Female,自研BMS。（叉车型号：TIGER TRACTOR)",1030.0,805.0,770.0,1523,1
F80840S-A,瑞浦,80.0,840.0,1009x831x749,2131.0,N/A,Linde E35HL/50P,280,25S3P,80,1567,"型号：F80840S-A叉车项目； 电芯：瑞浦280Ah ；组合方式：25S3P ；电压：80V； 容量：840Ah； 电量：67.2KWh（箱体最大尺寸： 1009*831*749mm）配重1567kg，总重量：2131KG，加顶盖，带4G模块带加热功能，内置灭火器;充电头：Anderson Euro 320 / Female A系列;放电插头：Anderson EBC 320A;做双插头，充电电流400A, 与Ecotec 适配:  DUAL PLUG Ecotec Charger (CA80-1000-34SFC)；自研BMS。（叉车型号：Linde E35HL/50P）",1009.0,831.0,749.0,1519,1
F48460EA-A,EVE,51.2,460.0,-,,N/A,Xe BT,230,16S2P,48,-,型号：F48460EA-A叉车项目（SKD）： 电芯：EVE230Ah ，组合方式：16S2P， 电压：51.2V， 容量：460Ah ，电量：23.552KWh，无需电池箱，无需充电加热，带4G和灭火装置，充电线5M放电线长1.3M，屏幕线5M，自研BMS。（叉车型号：Xe BT ）,,,,950,0
F48560EF,瑞浦,51.2,560.0,1212x419x784,1055.0,N/A,Toyota BT RRE 200,280,16S2P,48,663,型号：F48560EF车项目： 电芯：瑞浦LF280Ah， 组合方式：16S2P ，电压：51.2V， 容量：560Ah ，电量：28.672KWh，箱体尺寸：1212*419*784mm，配重663KG，总重量：1055KG，不带加热，带4G，放电插头 REMA DIN 320A 母头，放电线长1.8米，BMS-自研。（叉车型号：BT RRE 200）,1212.0,419.0,784.0,1107,1
F24210AR,EVE,25.6,210.0,650x200x520,,N/A,N/A,105,8S2P,24,0,型号：F24210AR叉车项目： 电芯：EVELF105 组合方式：8S2P 电压：25.6V 容量：210Ah 电量：5.37KWh（650*200*520mm），不带配重，不带加热功能，带4G模块，BMS-自研。,650.0,200.0,520.0,119,0
F72280B(A箱),瑞浦,73.6,280.0,1300x300x340,,N/A,N/A,280,23S1P,72,-,"型号：F72280B叉车项目： 电芯：瑞浦280Ah 组合方式：23S1P 电压：73.6V 容量：280Ah 电量：20.608KWh（A箱尺寸： 1300*300*340mm，B箱尺寸：705.6*310*340）,A/B串联方案，BMS-自研。",1300.0,300.0,340.0,1304,1
F48560AU,瑞浦,51.2,560.0,1000x980x520,1119.0,N/A,N/A,280,16S2P,48,744,型号：F48560AU 叉车项目： 电芯：瑞浦280Ah 组合方式：16S2P 电压：51.2V 容量：560Ah 电量：28.762KWh。（箱体尺寸： 1000×980×520mm) 带配重，总重量：1119kg，铁块重量744kg，带4G模块，带加热，BMS-自研。,1000.0,980.0,520.0,1023,1
F36690BQ,瑞浦,38.4,690.0,985x541x612,726.0,N/A,Toyota 8FBE15U,230,12S3P,36,523,型号：F36690BQ叉车项目： 电芯：瑞浦230Ah ，组合方式：12S3P 电压：38.4V 容量：690Ah 电量：26.496KWh（箱体尺寸：985*541*612mm）配重523KG，总重量：726KG，带4G模块，带加热功能，BMS-自研。（叉车型号Toyota 8FBE15U）,985.0,541.0,612.0,519,1
F48840L,瑞浦,51.2,840.0,970x630x594,980.0,N/A,Hyster J40XN,280,16S3P,48,500,型号：F48840L 叉车项目： 电芯：瑞浦280Ah 组合方式：16S3P 电压：51.2V 容量：840Ah 电量：43KWh。（带配重，箱体尺寸：970*630*594mm）配重500kg，总重量980kg，带加热功能，带4G模块，BMS-自研。（叉车型号：Hyster J40XN）,970.0,630.0,594.0,1291,1
F48560BS,瑞浦,51.2,560.0,970x823x572,1451.0,N/A,N/A,280,16S2P,48,1020,型号：F48560BS叉车项目： 电芯：瑞浦280Ah 组合方式：16S2P 电压：51.2V 容量：560Ah 电量：28.762KWh。（箱体尺寸：970*823*572mm) 带配重，铁块重量：1020KG，总重量：1451KG，带加热模块，带4G功能，BMS-自研。（需要UL认证）,970.0,823.0,572.0,1047,1
F48560CG,瑞浦,51.2,560.0,980x775x600,860.0,N/A,Hyster E50XN,280,16S2P,48,510,型号：F48560CG叉车项目： 电芯：瑞浦280Ah 组合方式：16S2P 电压：51.2V 容量：560Ah 电量：28.762KWh。（箱体尺寸：980*775*600mm) 带配重，配重510KG，总重量：860KG，带加热功能，带4G模块，BMS-自研。（叉车型号：Hysrer E50XN）,980.0,775.0,600.0,1061,1
F36560R,瑞浦,38.4,560.0,965x457x749,1180.0,N/A,N/A,280,12S2P,36,850,"型号：F36560R叉车项目： 电芯：瑞浦280Ah ，组合方式：12S2P 电压：38.4V 容量：560Ah 电量：21.504KWh（箱体最大尺寸：965*457*749mm）带配重，铁块850kg,总重量1180kg，BMS-自研，带加热功能，带4G模块。",965.0,457.0,749.0,445,1
F24150P-A,瑞浦,25.6,150.0,621x209x625,212.0,N/A,TCM SPW,50,8S3P,24,150,"型号：F24150P-A叉车项目; 电芯：瑞浦150Ah ，组合方式：8S3P, 电压：25.6V ,容量：150Ah ,电量：3.84KWh（箱体尺寸：621x209x625mm，配重150KG，总重量212kg，带加热和灭火功能，带优克联4G模块，ZIVAN充电器-IP65_SG3，自研BMS。（叉车型号：TCM SPW）",621.0,209.0,625.0,61,1
F48460DH,瑞浦,51.2,460.0,1035x533x784,1050.0,N/A,"Crown ESR 1240 ""8""",230,16S2P,48,652,"型号：F48460DH叉车项目；电芯：瑞浦LF230Ah；组合方式：16S2P ；电压：51.2V ；容量：460Ah ；电量：23.552KWh。（箱体尺寸： 1035*533*784mm）；总重量1050KG，配重652KG，带4G模块和加热功能，加顶盖，放电插头：Anderson SB350 Blue，屏幕线3米，BMS-自研。（叉车型号：Crown ESR 1240 ""8""）",1035.0,533.0,784.0,940,1
F24230AN,瑞浦,25.6,230.0,650x197x675,250.0,N/A,Toyota BT SWE120,230,8S1P,24,-,型号：F24230AN叉车项目; 电芯：瑞浦230Ah ，组合方式：8S1P； 电压：25.6V； 容量：230Ah； 电量：5.888KWh，箱体尺寸：650*197*675mm;总重量：250KG，带4G模块，带加热，放电线接口为Rema 160母头，线长1m；显示屏线长2M，自研BMS。（叉车型号：BT SWE120）,650.0,197.0,675.0,169,1
F48608Z,EVE,51.2,608.0,815x670x556,810.0,N/A,Toyota 7FBH18,304,16S2P,48,520,型号：F48608Z叉车项目： 电芯：EVELF304 组合方式：16S2P 电压：51.2V 容量：608Ah 电量：31.129KWh。（箱体尺寸：815×670×556mm）带配重，铁块重量：520kg，总重量：810kg，不带4G模块功能，带加热功能，BMS-自研。（在F48608M基础上去掉慢充功能 其他完全和F48608M使用场景，车辆条件一致，叉车型号：Toyota 7FBH18）,815.0,670.0,556.0,1178,0
F72304A,EVE,73.6,304.0,1250x330x330,,N/A,N/A,304,23S1P,72,0,型号：F72304A叉车项目： 电芯：EVELF304，组合方式：23S1P 电压：73.6V 容量：304Ah 电量：22.374KWh（尺寸：1250*330*330mm，不带配重）客供电池外箱，BMS-自研。,1250.0,330.0,330.0,1306,0
F36628C,瑞浦,38.4,628.0,960x455x775,1050.0,N/A,Crown RC5735-35,314,12S2P,36,773,"型号：F36628C叉车项目； 电芯：瑞浦314 ，组合方式：12S2P； 电压：38.4V； 容量：628Ah； 电量：24.115KWh（箱体尺寸：960*455*775mm）配重773KG，总重1050KG，带加热和4G模块 ，加顶盖，放电插头：Anderson SB350 Gray,BMS-自研。（叉车型号：Crown RC5735-35）",960.0,455.0,775.0,475,1
F90608A,EVE,89.6,608.0,1028x708x632,1210.0,N/A,N/A,304,28S2P,90,642,型号：F90608A叉车项目： 电芯：EVELF304 组合方式：28S2P 电压：89.6V 容量：608Ah 电量：54.477KWh（电池尺寸：1028*708*632mm）（带配重，铁块重量：642KG）总重量：1210kg，带4G模块，带加热，BMS-自研。,1028.0,708.0,632.0,1537,0
F36560AQ,瑞浦,38.4,560.0,969x339x786,750.0,N/A,N/A,280,12S2P,36,490,型号：F36560AQ叉车项目： 电芯：瑞普280Ah ，组合方式：12S2P 电压：38.4V 容量：560Ah 电量：21.504KWh（箱体最大尺寸：969*339*786mm）配重490KG，总重量750KG，带4G模块，带加热功能，BMS-自研。,969.0,339.0,786.0,413,1
F80840F,瑞浦,80.0,840.0,1028x999x784,2150.0,N/A,N/A,280,25S3P,80,1549,型号：F80840F叉车项目： 电芯：瑞浦280Ah ，组合方式：25S3P 电压：80V 容量：840Ah 电量：67.2KWh（箱体最大尺寸： 1028*999*784mm）带配重，铁块重量1549kg，总重量：2150KG，带4G模块，带加热功能，自研BMS。,1028.0,999.0,784.0,1511,1
F48460CQ,EVE,51.2,460.0,830x630x627,865.0,N/A,Mitsubishi FB25AN,230,16S2P,48,570,型号：F48460CQ叉车项目： 电芯：EVE230Ah 组合方式：16S2P 电压：51.2V 容量：460Ah 电量：23.552KWh。（箱体尺寸：830x630x627mm）配重570KG；总重量865KG，IP65，带4G模块，带加热功能，CAN通讯，协议使用欧洲克拉克通讯协议，BMS-自研。（叉车型号：三菱FB25AN）,830.0,630.0,627.0,924,0
F80840B,瑞浦,80.0,840.0,1028x855x784,,N/A,N/A,280,26S3P,80,1208,"型号：F80840B叉车项目： 电芯：瑞浦280Ah ，组合方式：26S3P 电压：80V 容量：840Ah 电量：69.88KWh（箱体最大尺寸： 1028*855*784mm）带配重，铁块重量1208kg,，带4G模块,带加热功能，自研BMS。",1028.0,855.0,784.0,1509,1
F72420A,EVE,76.8,420.0,-,,N/A,N/A,105,23S4P,72,-,型号：F72420A叉车项目： 电芯：EVELF105，组合方式：23S4P 电压：76.8V 容量：420Ah 电量：30.912KWh。,,,,1311,0
F72690A-A,EVE,70.4,690.0,1023x883x501.5,1251.0,N/A,N/A,230,22S3P,72,785,型号：F72690A-A叉车项目： 电芯：EVELF230，组合方式：22S3P 电压：70.4V 容量：690Ah 电量：48.5KWh，尺寸：1023x883x501.5mm，带配重，铁块重量：785KG，总重量：1251KG，带4G模块，带加热功能，BMS-自研。,1023.0,883.0,501.5,1330,0
F48420D-B,EVE,51.2,420.0,978x630x635,836.0,N/A,Hyundai 20BT-9U,105,16S4P,48,510,型号：F48420D-B叉车项目： 电芯：EVE105Ah ，组合方式：16S4P 电压：51.2V 容量：420Ah 电量：21.504KWh（箱体尺寸：978x630x635mm），（带配重510kg，总重量：836kg）。带加热功能，带4G功能，BMS-自研，(对应叉车型号:HD-20BT-9U),978.0,630.0,635.0,823,0
F36690AL-B,瑞浦,38.4,690.0,975x406x787,815.5,N/A,N/A,230,12S3P,36,575,型号：F36690AL-B叉车项目： 电芯：亿纬LF230Ah电芯，组合方式：12S3P 电压：38.4V 容量：690Ah 电量：26.496KWh（箱体尺寸：975*406*787mm），配重：575KG，总重量：815.5KG，带加热功能，带4G模块，BMS-自研。（参考现代项目F36690AL设计，电芯变为EVE电芯，仅需变更尺寸至 38.4*16*31 INCHES. 电池总重量730KG，其他与F36690AL一致，带通讯. ；叉车型号： 23BRP-9）,975.0,406.0,787.0,493,1
F48608A-A,EVE,51.2,608.0,1005x764x596,,N/A,N/A,304,16S2P,48,885,"型号：F48608A-A叉车项目： 电芯：EVELF304 组合方式：16S2P 电压：51.2V 容量：608Ah 电量：31.1296KWh。（箱体尺寸：1005x764x596mm）带配重,配重方式：铁板；配重重量：885KG.",1005.0,764.0,596.0,1146,0
F48304B,EVE,51.2,304.0,840x1020x490,,N/A,N/A,304,16S1P,48,0,型号：F48304B叉车项目： 电芯：EVELF304 组合方式：16S1P 电压：51.2V 容量：304Ah 电量：15.56KWh。（箱体尺寸：840x1020x490mm）不带配重,840.0,1020.0,490.0,676,0
F48315C-B,EVE,51.2,315.0,835x365x570,200.0,N/A,N/A,105,16S3P,48,-,"型号：F48315C-B叉车项目： 电芯：EVELF105， 组合方式：16S3P， 电压：51.2V ，容量：315Ah ，电量：16.1KWh，箱体尺寸：835*365*570mm，重量200KG，带加热和4G模块（原有的F48315C为21年设计， 需要更新内部为最新设置：外观接头都不变， 充电线改1.05米长,显示屏线束长度请改5米，需要加铭牌）",835.0,365.0,570.0,709,0
F48690APR-B,瑞浦,51.2,690.0,1600x330x780,1250.0,N/A,N/A,230,16S3P,48,872,型号：F48690APR-B叉车项目： 电芯：瑞浦230Ah ，组合方式：16S3P 电压：51.2V 容量：690Ah 电量：35.328KWh（箱体尺寸：1600*330*780mm）带配重，铁块重量：872，总重量：1250kg，带加热功能，带4G模块，BMS-自研。,1600.0,330.0,780.0,1198,1
F48460AF,EVE,51.2,460.0,982x535x590,715.0,N/A,N/A,230,16S2P,48,447,型号：F48460AF叉车项目： 电芯：EVE230Ah ，组合方式：16S2P 电压：51.2V 容量：460Ah 电量：23.552KWh（箱体尺寸：982*535*590mm）带配重，铁块重量447kg，总重量715kg；带4G模块，带加热功能，BMS-自研。,982.0,535.0,590.0,863,0
F48210B-B,EVE,51.2,210.0,950x370x550,480.0,N/A,N/A,105,16S2P,48,350,"型号：F48210B-B叉车项目： 电芯：EVELF105 组合方式：16S2P 电压：51.2V 容量：210Ah 电量：10.752KWh（950*370*550mm）带配重，铁块重量350KG总重量480KG，带4G模块，带加热功能，自研BMS, (F48210B-A的基础上放电线长改为1.5m）",950.0,370.0,550.0,626,0
F36840X,瑞浦,38.4,840.0,973x454x786,1069.0,N/A,Yale NDR35DC,280,12S3P,36,679,型号：F36840X叉车项目；电芯：瑞浦280Ah ；组合方式：12S3P ；电压：38.4V ；容量：840Ah； 电量：32.256KWh（箱体最大尺寸：973*454*786mm）配重679KG；总重量：1069kg，不需要4G 模块&不需要加热功能，放电插头：SB350 Gray，充电插头：REMA320ABMS-自研。（叉车型号：YALE NDR35DC）,973.0,454.0,786.0,611,1
F48560B,EVE,51.2,560.0,1005x863x596,,N/A,N/A,280,16S2P,48,-,型号：F48560B叉车项目： 电芯：EVELF280 组合方式：16S2P 电压：51.2V 容量：560Ah 电量：28.762KWh。（箱体尺寸：1005 x 863 x 596mm）,1005.0,863.0,596.0,1029,0
F481120A,瑞浦,51.2,1120.0,1035x706x784,,N/A,N/A,280,16S4P,48,940,型号：F48840A叉车项目： 电芯：瑞浦280Ah 组合方式：16S4P 电压：51.2V 容量：1120Ah 电量：57.344KWh。（箱体尺寸：1035*706*784mm）带配重，铁块重量：940kg，BMS-自研，带4G模块功能，带加热功能,1035.0,706.0,784.0,620,1
F36690L,EVE,38.4,690.0,967x511x774,,N/A,N/A,230,12S3P,36,1031,型号：F36690L叉车项目： 电芯：EVE230Ah ，组合方式：12S3P 电压：38.4V 容量：690Ah 电量：26.496KWh（箱体尺寸：967*511*774mm），放电插头型号：SB350 Gray，BMS-自研，（带配重，铁块1031kg）,967.0,511.0,774.0,565,0
F90460E,EVE,89.6,460.0,1028x708x632,1210.0,N/A,N/A,230,28S2P,90,775,型号：F90460E叉车项目： 电芯：EVELF230 组合方式：28S2P 电压：89.6V 容量：460Ah 电量：41.216KWh（电池尺寸：1028*708*632mm）（带配重，铁块重量：775KG）总重量：1210kg，带4G模块，带加热，BMS-自研,1028.0,708.0,632.0,1534,0
F36690V,EVE,38.4,690.0,972x614x579,,N/A,N/A,230,12S3P,36,660,型号：F36690V叉车项目： 电芯：EVE230Ah ，组合方式：12S3P 电压：38.4V 容量：690Ah 电量：26.496KWh（箱体尺寸：972*614*579mm），BMS-自研，（带配重，铁块重量：660kg）带4G模块，带加热功能,972.0,614.0,579.0,573,0
F24400H,瑞浦,25.6,400.0,771x314x584,386.0,N/A,Yale MO70T,100,8S4P,24,240,"型号：F24400H叉车项目： 电芯：瑞浦100A， 组合方式：8S4P， 电压：25.6V， 容量：400Ah ，电量：10.24KWh,箱体尺寸：771*314*584mm，配重240KG，总重量：386KG；带加热功能，带4G模块，充电插头：Anderson Euro A320 Female A-series A 系列，放电插头：SB175 Red,BMS-自研。（叉车型号：Yale MO70T）",771.0,314.0,584.0,284,1
F24460T,瑞浦,25.6,460.0,778x322x620,446.0,N/A,Yale MPE060G,230,8S2P,24,285,型号：F24460T叉车项目；电芯：瑞浦LF230Ah； 组合方式：8S2P ；电压：25.6V ；容量：460Ah ；电量：11.776KWh（尺寸：778*322*620mm），配重285KG，总重量446KG，不带4G模块，不带加热功能；充电插头：REMA 160 male， 放电插头：SB175 Gray；BMS-自研。（叉车型号：YALE MPE060G ）,778.0,322.0,620.0,332,1
F24280M,瑞浦,25.6,280.0,727x200x690,250.0,N/A,N/A,280,8S1P,24,150,型号：F24280M叉车项目： 电芯：瑞浦280Ah 组合方式：8S1P 电压：25.6V 容量：280Ah 电量：7.168KWh。（配重重量150kg，总重量：250KG，箱体尺寸：727 x 200x 690mm）带加热功能，带4G模块，BMS-自研。,727.0,200.0,690.0,212,1
F48608H,EVE,51.2,608.0,990x632x609,750.0,N/A,N/A,304,16S2P,48,446,型号：F48608H叉车项目： 电芯：EVELF304 组合方式：16S2P 电压：51.2V 容量：608Ah 电量：31.1296KWh。（箱体尺寸：990×632×609mm）带配重，铁块重量：446kg，总重量：750kg，带4G模块功能，带加热功能，BMS-自研。,990.0,632.0,609.0,1162,0
F36608J,EVE,38.4,608.0,967.5x624.5x572,,N/A,N/A,304,12S2P,36,944,型号：F36608J叉车项目： 电芯：EVE304Ah ，组合方式：12S2P 电压：38.4V 容量：608Ah 电量：23.347KWh（箱体尺寸：967.5*624.5*572mm）（带配重，铁块重量944kg）带4G模块功能，带加热功能，BMS-自研。,967.5,624.5,572.0,462,0
F48210B-D,EVE,51.2,210.0,956x370x550,480.0,N/A,N/A,105,16S2P,48,350,型号：F48210B-D叉车项目： 电芯：EVELF105 组合方式：16S2P 电压：51.2V 容量：210Ah 电量：10.752KWh（956*370*550mm）带配重，铁块重量350KG，总重量480KG，带4G模块，带加热功能，自研BMS。（放电线1.5米）,956.0,370.0,550.0,628,0
F48560E-A,EVE,51.2,560.0,1028x988x530,,N/A,N/A,280,16S2P,48,-,型号：F48560E-A叉车项目： 电芯：EVELF280 组合方式：16S2P 电压：51.2V 容量：560Ah 电量：28.762KWh。（箱体尺寸：1028x988x530mm）在F48560E项目基础上修改容量为564Ah,1028.0,988.0,530.0,1102,0
F24130A,瑞浦,25.6,130.0,650x150x560,59.0,N/A,Hyster P1.6,65,8S2P,24,0,"型号：F24130A叉车项目; 电芯：瑞浦65Ah ，组合方式：8S2P, 电压：25.6V ,容量：130Ah ,电量：3.32KWh，箱体尺寸：650*150*560mm，重量59kg，带加热，带4G模块，放电插头：SB175  ,自研BMS。（叉车型号：Hyster P1.6）",650.0,150.0,560.0,42,1
F80460AC,EVE,80.0,460.0,10025x852x784,1900.0,N/A,Hyundai 35BH-9,230,26S2P,80,1490,型号：F80460AC叉车项目： 电芯：EVE160Ah ，组合方式：26S2P 电压：80V 容量：460Ah 电量：38.272KWh（箱体尺寸：10025*852*784mm），配重重量：1490kg，总重量：1900KG，带加热功能，带4G模块，自研BMS。（叉车型号：HUYUNDAI  35BH-9 ）,10025.0,852.0,784.0,1389,0
F48608Q,EVE,51.2,608.0,978x630x635,1030.0,N/A,N/A,304,16S2P,48,700,型号：F48608Q 叉车项目： 电芯：EVELF304 组合方式：16S2P 电压：51.2V 容量：608Ah 电量：31.129KWh。（箱体尺寸：978×630×635mm）带配重，铁块重量：700kg，总重量：1030kg，带4G模块功能，带加热功能，BMS-自研。,978.0,630.0,635.0,1171,0
F24100C-J,EVE,25.6,105.0,635x180x540,,N/A,N/A,105,8S1P,24,-,型号：F24100C-J叉车项目假机： 电芯：EVELF105 组合方式：8S1P 电压：25.6V 容量：105Ah 电量：2.688KWh（635*180*540mm）,635.0,180.0,540.0,7,0
F24315B,EVE,25.6,315.0,815x420x570,,N/A,N/A,105,8S3P,24,-,型号：F24315B叉车项目： 电芯：EVELF105 组合方式：8S3P 电压：25.6V 容量：315Ah 电量：8.064KWh（815*420*570mm）。,815.0,420.0,570.0,254,0
F36560V,瑞浦,38.4,560.0,971x819x571,1386.0,N/A,N/A,280,12S2P,36,1033,"型号：F36560V叉车项目： 电芯：瑞浦280Ah ，组合方式：12S2P 电压：38.4V 容量：560Ah 电量：21.504KWh（箱体最大尺寸：971*819*571mm）带配重，铁块1033kg,总重量1386kg，BMS-自研，带加热功能，带4G模块。",971.0,819.0,571.0,449,1
F36840M,瑞浦,38.4,840.0,970x740x571,1179.0,N/A,N/A,280,12S3P,36,900,"型号：F36840M叉车项目： 电芯：瑞浦280Ah ,组合方式：12S3P 电压：38.4V 容量：840Ah 电量：32.256KWh（箱体最大尺寸：970*740*571mm）配重900KG，总重量：1179kg，带4G模块，带加热功能，BMS-自研。",970.0,740.0,571.0,604,1
F36690CJ,瑞浦,38.4,690.0,975x406x800,935.0,N/A,Raymond 4250,230,12S3P,36,651,"型号：F36690CJ叉车项目；电芯：瑞浦230Ah ，组合方式：12S3P； 电压：38.4V； 容量：690Ah； 电量：26.496KWh（箱体尺寸：975*406*800mm）配重651KG，总重935KG，带加热功能, 带4G模块； 放电线接口为Anderson SB350，线长1.3m；显示屏线长3M，BMS-自研。（叉车型号：Raymond 4250）",975.0,406.0,800.0,540,1
F48560CV,瑞浦,51.2,560.0,835x634x784,1118.0,N/A,Linde E20PH EVO 386-02,280,16S2P,48,790,型号：F48560CV叉车项目； 电芯：瑞浦280Ah； 组合方式：16S2P； 电压：51.2V； 容量：560Ah； 电量：28.6KWh。（箱体尺寸： 835*634*784mm) 总重量：1118kg，配重790kg，带4G模块，带加热，BMS-自研。（叉车型号：LINDE E20PH EVO 386-02）,835.0,634.0,784.0,1075,1
F24150F,瑞浦,25.6,150.0,648x154x595,67.0,N/A,N/A,50,8S3P,24,0,型号：F24150F叉车项目： 电芯：瑞浦50Ah ，组合方式：8S3P 电压：25.6V 容量：150Ah 电量：3.84KWh（箱体尺寸：648x 154 x 595mm，不带配重，重量67kg）不带加热，带4G模块，自研BMS。,648.0,154.0,595.0,52,1
F24210APR-E,EVE,25.6,210.0,624x212x627,180.0,N/A,Crown ET4000,105,8S2P,24,103,型号：F24210APR-E叉车项目： 电芯：EVELF105 组合方式：8S2P 电压：25.6V 容量：210Ah 电量：5.376KWh（624*212*627mm）配重103KG，总重量：180KG，带加热功能，带4G模块，BMS-自研。（叉车型号：Crown ET4000）,624.0,212.0,627.0,117,0
F48460EI,瑞浦,51.2,460.0,1210x350x780,940.0,N/A,Toyota RRE,230,16S2P,48,661,型号：F48460EI叉车项目： 电芯：瑞浦230Ah ，组合方式：16S2P， 电压：51.2V， 容量：460Ah ，电量：23.552KWh，箱体尺寸：1210*350*780mm，配重：661KG，总重量：940KG，不带加热功能，带4G模块，放电插头：Rema 320a  黑色，显示屏线长5M，自研BMS。（叉车型号：TOYOTA RRE）,1210.0,350.0,780.0,958,1
F48560DJ,瑞浦,51.2,560.0,830x630x627,856.0,N/A,Linde 386 E16,280,16S2P,48,543,型号：F48560DJ叉车项目；电芯：瑞浦LF280Ah，组合方式：16S2P， 电压：51.2V， 容量：560Ah， 电量：28.672KWh（尺寸：830*630*627mm，）配重543KG；总重量：856kg，带加热，带4G，放电接口REMA 160，BMS-自研。（叉车型号：Linde 386 E16）,830.0,630.0,627.0,1088,1
F48560BB-A,瑞浦,51.2,560.0,1223x355x784,892.0,N/A,Hyster R1.4M,280,16S2P,48,657,"型号：F48560BB-A叉车项目； 电芯：瑞浦280Ah， 组合方式：16S2P， 电压：51.2V ，容量：560Ah ，电量：28.672KWh。（箱体尺寸：1223*355*784mm) 总重量：892KG，配重657KG，带4G模块，带加热功能，电池四面需要带Logo，放电接头为Rema 320A,放电线长为1300mm,SOC显示屏线长3M，自研BMS。（叉车型号：Hyster R1.4M ）",1223.0,355.0,784.0,1034,1
F36690AM,瑞浦,38.4,690.0,975x450x787,1080.0,N/A,Hyundai,230,12S3P,36,781,"型号：F36690AM叉车项目： 电芯：瑞浦230Ah ，组合方式：12S3P 电压：38.4V 容量：690Ah 电量：26.496KWh（箱体尺寸：975*450*787mm）,（带配重，铁块重量：781kg,总重量：1080kg）带4G模块，带加热功能，自研BMS.(韩国现代，带通讯协议）",975.0,450.0,787.0,494,1
F36840S,瑞浦,38.4,840.0,985x533x736,1217.0,N/A,Yale NDR035EC,280,12S3P,36,820,"型号：F36840S叉车项目： 电芯：瑞浦280Ah ,组合方式：12S3P 电压：38.4V 容量：840Ah 电量：32.256KWh（箱体最大尺寸：985*533*736mm）配重820KG，总重量：1217kg，BMS-自研。（叉车型号：NDR035EC （21.5 BOX））",985.0,533.0,736.0,608,1
F72460F-A,EVE,76.8,460.0,-,,N/A,Komatsu FE30,230,24S2P,72,-,型号：F72460F-A叉车项目（SKD）；电芯：亿纬LF230，组合方式：24S2P， 电压：76.8V， 容量：460Ah， 电量：35.328KWh，不需要电池箱，不带加热功能，带4G和灭火装置，放电插头线5M，屏幕线5M，BMS-自研。（叉车型号：Komatsu FE30 ）,,,,1321,0
F24100M,EVE,25.6,105.0,635x180x539,50.0,N/A,N/A,105,8S1P,24,0,型号：F24100M叉车项目： 电芯：亿纬105Ah 组合方式：8S1P 电压：25.6V 容量：105Ah 电量：2.56KWh（635*180*539mm）不带配重，总重量：50KG，带加热功能，带4G功能，自研BMS。（需要UL认证）,635.0,180.0,539.0,22,0
F48690H,EVE,51.2,690.0,970x831.8x517.5,,N/A,N/A,230,16S3P,48,1080,型号：F48690H叉车项目： 电芯：EVE230Ah ，组合方式：16S3P 电压：51.2V 容量：690Ah 电量：35.328KWh（箱体尺寸：970*831.8*517.5mm）带配重，铁块重量：1080kg，带加热功能，带4G模块，BMS-自研,970.0,831.8,517.5,1265,0
F48560A,EVE,51.2,560.0,-,,N/A,N/A,280,16S2P,48,-,型号：F48560A叉车项目： 电芯：EVELF280 组合方式：16S2P 电压：51.2V 容量：560Ah 电量：28.762KWh。,,,,1000,0
