锂电池型号,电芯品牌,电压(V),容量(Ah),尺寸(mm),总重量(kg),模组串并联方式,适用叉车型号,单体电芯容量(Ah),模组配置(串S并P联）,对应铅酸电池电压(V),含配重(kg),电池详情,长(mm),宽(mm),高(mm),锂电池型号编码,电芯品牌编码
F90460C-A,EVE,89.6,460.0,1026x852x627,1458.0,N/A,N/A,230,28S2P,90,960,型号：F90460C-A叉车项目： 电芯：EVELF230 组合方式：28S2P 电压：89.6V 容量：460Ah 电量：41.216KWh（电池尺寸：1026*852*627mm）（带配重，铁块重量：960KG）总重量：1458kg，带4G模块，带加热，BMS-自研,1026.0,852.0,627.0,1533,0
F48280E,EVE,51.2,280.0,708x440x459,,N/A,N/A,280,16S1P,48,-,型号：F48280E叉车项目： 电芯：EVELF280 组合方式：16S1P 电压：51.2V 容量：280Ah 电量：14.336KWh。（箱体尺寸：708*440*459mm）,708.0,440.0,459.0,658,0
F24210BC,EVE,25.6,210.0,630x193x550,91.5,N/A,Linde T20S,105,8S2P,24,-,型号：F24210BC叉车项目； 电芯：EVELF105； 组合方式：8S2P； 电压：25.6V； 容量：210Ah ；电量：5.376KWh（630*193*550mm）总重量：91.5KG，不带加热和4G ，BMS-自研。（叉车型号：Linde T20S）,630.0,193.0,550.0,130,0
F48460CR,瑞浦,51.2,460.0,830x460x570,288.0,N/A,Linde e10,230,16S2P,48,-,型号：F48460CR叉车项目； 电芯：瑞浦230Ah ，组合方式：16S2P； 电压：51.2V ；容量：460Ah； 电量：23.552KWh（箱体尺寸：830*460*570mm），总重量288KG±30KG，不带4G模块，不带加热，充放电头都是REMA320A，放电为REMA母头，BMS-自研。（叉车型号：Linde  e10 ）,830.0,460.0,570.0,925,1
F24200B,瑞浦,25.6,200.0,810x257x757,200.0,N/A,N/A,100,8S2P,24,120,型号：F24200B叉车项目： 电芯：瑞浦LF100 组合方式：8S2P 电压：25.6V 容量：200Ah 电量：5.12KWh（810*257*757mm）配重：120KG，总重量：200KG，带加热，带4G，BMS-自研。,810.0,257.0,757.0,86,1
F80400D,EVE,80.0,400.0,1030x580x620,1238.0,N/A,N/A,100,25S4P,80,788,型号：F80400D叉车项目： 电芯：EVE105Ah ，组合方式：25S4P 电压：80V 容量：400Ah 电量：32KWh（箱体尺寸：1030*580*620mm），配重788KG，总重量1238KG，带加热功能，带4G模块，BMS-自研。,1030.0,580.0,620.0,1356,0
F24160Q,EVE,25.6,160.0,621x209x627,204.0,N/A,N/A,160,8S1P,24,143,型号：F24160Q叉车项目： 电芯：EVELF160 组合方式：8S1P 电压：25.6V 容量：160Ah 电量：4.096KWh（尺寸： 621*209*627mm）配重143KG ，总重量：204kg，带加热功能，带4G模块，自研BMS。,621.0,209.0,627.0,81,0
F48460EB-A,EVE,51.2,460.0,-,,N/A,TCM,230,16S2P,48,-,型号：F48460EB-A叉车项目（SKD销售模式）： 电芯：EVE230Ah ，组合方式：16S2P， 电压：51.2V， 容量：460Ah ，电量：23.552KWh，无需电池箱，无需充电加热，带4G和灭火装置，充电线5M放电线长1.3M，屏幕线5M，自研BMS。（叉车型号：TCM ）,,,,952,0
F48304J,EVE,51.2,304.0,800x355x530,210.0,N/A,Komatsu,304,16S1P,48,0,型号：F48304J叉车项目；电芯：亿纬304Ah，组合方式：16S1P， 电压：51.2V， 容量：304Ah， 电量：15.5648KWh，尺寸:800*355*530mm，无配重；总重量：210kg，无需充电加热，带4G和灭火装置，充电线5M放电线长1.3M，屏幕线5M，BMS-自研。（叉车型号： Komatsu）,800.0,355.0,530.0,684,0
F901256A,瑞浦,89.6,1256.0,1028x999x784,2000.0,N/A,Linde E50/600,314,28S4P,90,937,型号：F901256A叉车项目： 电芯：瑞浦314Ah， 组合方式：28S4P ，电压：89.6V ，容量：1256Ah ，电量：112.5KWh，箱体尺寸1028*999*784mm）配重：937KG，总重量：2000KG，带4G模块功能，带加热功能，充电插头: 双充头 REMA 320A Male（公头），放电插头： REMA 320A Female （母头），BMS-自研。（叉车型号：Linde E50/600.）,1028.0,999.0,784.0,1527,1
F48608AD,EVE,51.2,608.0,822x744x777,1335.0,N/A,Aisle Master 20SHE,304,16S2P,48,804,型号：F48608AD叉车项目： 电芯：EVELF304 组合方式：16S2P 电压：51.2V 容量：608Ah 电量：31.1296KWh（箱体尺寸：822×744×777mm），配重804kg，总重量：1335KG，带加热功能，带4G模块，BMS-自研。（叉车型号：Aisle Master 20SHE）,822.0,744.0,777.0,1152,0
F36560AF,瑞浦,38.4,560.0,977.5x342.5x711,771.0,N/A,N/A,280,12S2P,36,476,型号：F36560AF叉车项目： 电芯：瑞浦280Ah ，组合方式：12S2P 电压：38.4V 容量：560Ah 电量：21.5KWh（箱体最大尺寸：977.5 x 342.5x 711mm）带配重，铁块476kg，总重量：771KG，带加热功能，带4G模块，BMS-自研。,977.5,342.5,711.0,403,1
F48560EI-A,瑞浦,51.2,560.0,-,,N/A,Komatsu KMS,280,16S2P,48,-,型号：F48560EI-A叉车项目（SKD）： 电芯：亿纬LF280Ah， 组合方式：16S2P ，电压：51.2V， 容量：560Ah ，电量：28.672KWh，无需电池箱，无需充电加热，带4G和灭火装置，充电线5M放电线长1.3M，屏幕线5M，BMS-自研。（叉车型号：KMS）,,,,1113,1
F48420AL,EVE,51.2,420.0,827x627x627,,N/A,N/A,105,16S4P,48,555,型号：F48420AL叉车项目： 电芯：EVE105Ah ，组合方式：16S4P 电压：51.2V 容量：420Ah 电量：21.504KWh（827x627x627mm）带配重，铁块重量555KG，自研BMS，带4G模块，带加热功能 。,827.0,627.0,627.0,766,0
F48280J,瑞浦,51.2,280.0,980x398x760,850.0,N/A,N/A,280,16S1P,48,635,"型号：F48280J叉车项目： 电芯：瑞浦280 组合方式：16S1P 电压：51.2V 容量：280Ah 电量：14.34KWh。（箱体尺寸：980*398*760mm）（带配重，铁块重量635kg,总重量850kg），带4G模块，带加热功能，BMS-自研",980.0,398.0,760.0,665,1
F48304F,EVE,51.2,304.0,1005x372x565,490.0,N/A,Toyota FBR15,304,16S1P,48,230,型号：F48304F叉车项目： 电芯：EVELF304 组合方式：16S1P 电压：51.2V 容量：304Ah 电量：15.56KWh。（箱体尺寸：1005x372x565mm)配重230KG，总重量490KG，不带加热功能，带4G模块，自研BMS。(叉车型号：丰田7FBR15),1005.0,372.0,565.0,680,0
F24105E,EVE,25.6,105.0,375x195x376,,N/A,N/A,105,8S1P,24,-,"型号：F24105E,叉车项目： 电芯：EVELF105 组合方式：8S1P 电压：25.6V 容量：105Ah 电量：2.688KWh（尺寸：375*195*376mm）",375.0,195.0,376.0,37,0
F961120A,瑞浦,96.0,1120.0,1420x615x785,4100.0,N/A,N/A,280,30S4P,96,2775,"型号：F961120A叉车项目： 电芯：瑞浦280Ah 组合方式：30S4P 电压：96V 容量：1120Ah 电量：107.52KWh。（箱体尺寸：A/B包尺寸1420*615*785mm）A/B包两个总配重：2775kg,A/B包总重量：4100kg，带4G模块功能，带加热功能，BMS-自研。",1420.0,615.0,785.0,1546,1
F48690CQ,瑞浦,51.2,690.0,813x736.5x840,1360.0,N/A,Combilift Aislemaster AM44SE-OP,230,16S3P,48,916,"型号：F48690CQ叉车项目； 电芯：瑞浦LF230Ah ，组合方式：16S3P； 电压：51.2V ；容量：690Ah； 电量：35.328KWh，箱体尺寸：813*736.5*840mm，配重916KG，总重1360KG，加顶盖, 配4G模块和加热功能，充电头：Anderson Euro 320A-Female A系列  (与Ecotech适配通讯,48Li-20kW-34)，放电插头：Anderson SB350 Blue   ， 屏幕线3米，放电线长1.3m； BMS-自研。（叉车型号：Combilift Aislemaster AM44SE-OP）",813.0,736.5,840.0,1251,1
F24460G,瑞浦,25.6,460.0,624x356x627,352.0,N/A,N/A,230,8S2P,24,127,型号：F24460G叉车项目： 电芯：瑞浦230 组合方式：8S2P 电压：25.6V 容量：460Ah 电量：11.776KWh（624x356x627mm），带配重，铁块重量：127kg，总重量：352kg，带加热功能，带4G模块，BMS-自研。,624.0,356.0,627.0,319,1
F48690CZ,瑞浦,51.2,690.0,1032x530x784,1064.0,N/A,Still RX20,230,16S3P,48,644,"型号：F48690CZ叉车项目； 电芯：瑞浦230Ah ，组合方式：16S3P； 电压：51.2V ；容量：690Ah； 电量：35.328KWh,箱体尺寸：1032*530*784mm,配重644KG，总重1064KG，带4G模块，带加热，充电插头: REMA320A male（公头），放电插头：REMA-Din 160A female（母头），BMS-自研。（叉车型号：Still RX_20）",1032.0,530.0,784.0,1258,1
F48560E,EVE,51.2,560.0,1028x988x530,,N/A,N/A,280,16S2P,48,-,型号：F48560E叉车项目： 电芯：EVELF280 组合方式：16S2P 电压：51.2V 容量：560Ah 电量：28.762KWh。（箱体尺寸：1028x988x530mm）,1028.0,988.0,530.0,1101,0
F48420CC,EVE,51.2,420.0,1223x536x784,939.0,N/A,Still FM-X17,105,16S4P,48,639,型号：F48420CC叉车项目： 电芯：EVE105Ah ，组合方式：16S4P 电压：51.2V 容量：420Ah 电量：21.504KWh（箱体尺寸：1223*536*784mm）配重639KG，总重：939KG，带加热功能，带4G模块，BMS-自研。（Forklift：STILL FM-X17）,1223.0,536.0,784.0,807,0
F80840J,瑞浦,80.0,840.0,1030x1000x798,2180.0,N/A,Hyster,280,25S3P,80,1598,型号：F80840J叉车项目： 电芯：瑞浦280Ah ，组合方式：25S3P 电压：80V 容量：840Ah 电量：67.2KWh（箱体最大尺寸： 1030*1000*798mm）带配重，铁块重量1598kg，总重量：2180KG，带4G模块，带加热功能，自研BMS。（叉车型号：Hyster ）,1030.0,1000.0,798.0,1513,1
F24100B,EVE,25.6,105.0,635x180x540,,N/A,N/A,105,8S1P,24,-,型号：F24100B叉车项目： 电芯：EVELF105 组合方式：8S1P 电压：25.6V 容量：105Ah 电量：2.688KWh（635*180*540mm）,635.0,180.0,540.0,4,0
F36840BJ,瑞浦,38.4,840.0,965x508x787,1280.0,N/A,Crown RMD6095S,280,12S3P,36,778,型号：F36840BJ叉车项目： 电芯：亿纬280Ah ，组合方式：12S3P； 电压：38.4V ；容量：840Ah ；电量：32.256KWh，箱体尺寸：965*508*787mm，配重778KG，总重量1280KG；带4G模块，带加热功能，  放电线接口为Anderson SB350灰色，线长1.3m；显示屏线长3M，BMS-自研。（叉车型号：Crown RMD6095S ）,965.0,508.0,787.0,588,1
F80420V,EVE,83.2,420.0,1016x679x774.5,1224.5,N/A,Charlatte T137-V3,105,26S4P,80,660,型号：F80420V叉车项目： 电芯：EVE105Ah ，组合方式：26S4P 电压：83.2V 容量：420Ah 电量：34.9KWh（箱体尺寸：1016*679*774.5mm）配重660kg，总重量1224.5g，带加热功能，带4G模块功能，BMS-自研。（叉车型号：Tow  Tractor CHARLATTE T137-V3；充电器：Power Designers Charger）,1016.0,679.0,774.5,1383,0
